#weight  minuslogpost  cosmomc_theta      logA        ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
 3 2011.7249 0.010399622 3.0326536 1.0234936   0.0193994 0.13575143 0.88026056 2.0752228e-09 59.570492 -19.847797 -19.847797 4063.1455 4063.1455
 1 2010.0653   0.0103997 3.0328475 1.0231315 0.019401612 0.13572004 0.88091073 2.0756252e-09 59.584064 -19.847797 -19.847797 4059.8261 4059.8261
 3 1992.9286 0.010399887 3.0347243  1.025506 0.019399455 0.13531659 0.89345325 2.0795243e-09 59.709336 -19.847797 -19.847797 4025.5527 4025.5527
 1 1985.3302 0.010399242   3.03589 1.0269945 0.019427934 0.13541736 0.88542276 2.0819499e-09 59.680533 -19.847797 -19.847797  4010.356  4010.356
 1 1967.0326 0.010399729 3.0321829 1.0265658 0.019444352  0.1359839 0.88040171 2.0742462e-09 59.539067 -19.847797 -19.847797 3973.7608 3973.7608
 2 1966.2126 0.010399575 3.0322788 1.0263204 0.019445859 0.13601206 0.88108518 2.0744452e-09 59.526905 -19.847797 -19.847797 3972.1207 3972.1207
 1 1959.5206 0.010399552 3.0347987 1.0262936 0.019446502 0.13641459 0.86015314  2.079679e-09 59.406762 -19.847797 -19.847797 3958.7368 3958.7368
1 1943.3613 0.010398924 3.0340431 1.0270429 0.019464269 0.13590592 0.85202693 2.0781084e-09 59.552145 -19.847797 -19.847797 3926.4182 3926.4182
3  1938.429  0.01039918 3.0343523 1.0268068 0.019468467 0.13587739 0.85269982  2.078751e-09 59.572035 -19.847797 -19.847797 3916.5535 3916.5535
2   1915.45 0.010398636 3.0330814 1.0249879 0.019495543 0.13562029 0.85885069 2.0761106e-09 59.652589 -19.847797 -19.847797 3870.5956 3870.5956
2 1906.4907 0.010397965 3.0348529 1.0251983 0.019505873  0.1357481 0.84966134 2.0797918e-09 59.600982 -19.847797 -19.847797  3852.677  3852.677
3 1902.2504 0.010397977 3.0347044 1.0244809   0.0195092 0.13578191 0.85219506 2.0794829e-09 59.593819 -19.847797 -19.847797 3844.1964 3844.1964
2 1902.7243 0.010397717 3.0348512  1.024504 0.019509113 0.13575271 0.85304676 2.0797882e-09 59.594216 -19.847797 -19.847797 3845.1443 3845.1443
2 1899.0344 0.010397754 3.0349942  1.024591 0.019513397 0.13568537 0.85245041 2.0800857e-09 59.618849 -19.847797 -19.847797 3837.7644 3837.7644
6 1898.2569 0.010398432 3.0347393 1.0230446 0.019512747 0.13476473 0.85100459 2.0795556e-09  59.91668 -19.847797 -19.847797 3836.2094 3836.2094
5 1891.4805 0.010398941  3.035528 1.0225442 0.019512234 0.13490926  0.8590116 2.0811964e-09 59.888863 -19.847797 -19.847797 3822.6566 3822.6566
1 1887.5405 0.010398711 3.0375624 1.0219918   0.0195161 0.13436634 0.85603039 2.0854347e-09 60.048717 -19.847797 -19.847797 3814.7767 3814.7767
2 1885.8508 0.010399108  3.037739 1.0214315 0.019516357 0.13437345 0.85793426 2.0858029e-09 60.059381 -19.847797 -19.847797 3811.3973 3811.3973
2 1880.5881 0.010398727 3.0380876 1.0209662 0.019519913 0.13446151  0.8622521 2.0865303e-09 60.023326 -19.847797 -19.847797 3800.8717 3800.8717
6 1879.9671 0.010398772 3.0384252 1.0211577 0.019520552  0.1345097 0.86182644 2.0872349e-09  60.01065 -19.847797 -19.847797 3799.6298 3799.6298
1 1878.5178 0.010398713 3.0385086 1.0214628 0.019523265 0.13440751 0.86410784 2.0874087e-09 60.041828 -19.847797 -19.847797 3796.7311 3796.7311
4 1878.3656 0.010398124 3.0398885 1.0204653 0.019524397 0.13489997 0.86037196 2.0902911e-09 59.875084 -19.847797 -19.847797 3796.4267 3796.4267
1 1871.2102 0.010398041 3.0393512 1.0198188 0.019533091 0.13478119 0.85324324 2.0891685e-09    59.915 -19.847797 -19.847797 3782.1161 3782.1161
7 1869.0217 0.010399017 3.0371706 1.0206244 0.019538324 0.13532096 0.85090668 2.0846178e-09 59.787541 -19.847797 -19.847797  3777.739  3777.739
2 1847.3897 0.010399626 3.0346695 1.0224967 0.019569495 0.13548674 0.85818226 2.0794104e-09 59.781258 -19.847797 -19.847797 3734.4749 3734.4749
2 1829.1963 0.010399245 3.0363449 1.0225547 0.019588645 0.13519751 0.85058543 2.0828973e-09 59.870817 -19.847797 -19.847797 3698.0882 3698.0882
4 1826.2621 0.010400166 3.0360745  1.020241 0.019593259 0.13498512 0.85210559 2.0823341e-09 59.967659 -19.847797 -19.847797 3692.2197 3692.2197
